source-path,source-module,source-operation,target-path,target-module,target-operation,direction
apps/anytree/tests/test_dictexporter.py,anytreetests.test_dictexporter,s1b,apps/anytree/tests/test_cachedsearch.py,anytreetests.test_cachedsearch,MyClass,WRITE
apps/anytree/tests/test_dictimporter.py,anytreetests.test_dictimporter,exporter,apps/anytree/tests/test_iterators.py,anytreetests.test_iterators,DictExporter,WRITE
apps/anytree/src/anytree/render.py,anytree.render,children,apps/anytree/tests/test_iterators.py,anytreetests.test_iterators,node.children,WRITE
apps/anytree/tests/test_iterators.py,anytreetests.test_iterators,i,apps/anytree/tests/test_lightnode.py,anytreetests.test_lightnode,Node,WRITE
apps/anytree/src/anytree/node/util.py,anytreenode.util,nameblacklist,apps/anytree/tests/test_pickle.py,anytreetests.test_pickle,nameblacklist,WRITE
apps/anytree/tests/test_lightnode.py,anytreetests.test_lightnode,s1c,apps/anytree/tests/test_iterators.py,anytreetests.test_iterators,LightNode,WRITE
apps/anytree/tests/test_lightnode.py,anytreetests.test_lightnode,h,apps/anytree/tests/test_iterators.py,anytreetests.test_iterators,LightNode,WRITE
apps/anytree/src/anytree/exporter/mermaidexporter.py,anytree.exporter.mermaidexporter,options,apps/anytree/tests/test_lightnode.py,anytreetests.test_lightnode,MermaidExporter,WRITE
apps/anytree/tests/test_dotexport.py,anytreetests.test_dotexport,root,apps/anytree/tests/test_lightnode.py,anytreetests.test_lightnode,Node,WRITE
apps/anytree/tests/test_node.py,anytreetests.test_node,root,apps/anytree/tests/test_lightnode.py,anytreetests.test_lightnode,Node,WRITE
apps/anytree/tests/test_resolver.py,anytreetests.test_resolver,r,apps/anytree/tests/test_cachedsearch.py,anytreetests.test_cachedsearch,at.Resolver,WRITE
apps/anytree/tests/test_node.py,anytreetests.test_node,s0a,apps/anytree/tests/test_lightnode.py,anytreetests.test_lightnode,Node,WRITE
apps/anytree/tests/test_node_sep.py,anytreetests.test_node_sep,sub0sub0,apps/anytree/tests/test_lightnode.py,anytreetests.test_lightnode,MyNode,WRITE
apps/anytree/tests/test_node_sep.py,anytreetests.test_node_sep,sub0sub1sub0,apps/anytree/tests/test_lightnode.py,anytreetests.test_lightnode,MyNode,WRITE
apps/anytree/src/anytree/walker.py,anytree.walker,startpath,apps/anytree/tests/test_iterators.py,anytreetests.test_iterators,start.path,WRITE
apps/anytree/src/anytree/__init__.py,anytree.__init__,LevelGroupOrderIter,apps/anytree/tests/test_lightnode.py,anytreetests.test_lightnode,LevelOrderGroupIter,WRITE
apps/anytree/src/anytree/exporter/mermaidexporter.py,anytree.exporter.mermaidexporter,_RE_ESC,apps/anytree/tests/test_iterators.py,anytreetests.test_iterators,re.compile,WRITE
apps/anytree/src/anytree/render.py,anytree.render,children,apps/anytree/tests/test_lightnode.py,anytreetests.test_lightnode,RenderTree,WRITE
apps/anytree/tests/test_lightnode.py,anytreetests.test_lightnode,s1ca,apps/anytree/tests/test_iterators.py,anytreetests.test_iterators,LightNode,WRITE
apps/anytree/tests/test_iterators.py,anytreetests.test_iterators,f,apps/anytree/tests/test_lightnode.py,anytreetests.test_lightnode,Node,WRITE
