file,operation
adams_bashforth2.f.xml,ADAMS_BASHFORTH2
adams_bashforth3.f.xml,ADAMS_BASHFORTH3
add_walls2masks.f.xml,ADD_WALLS2MASKS
advect.f.xml,ADVECT
all_proc_die.f.xml,ALL_PROC_DIE
apply_forcing.f.xml,APPLY_FORCING_V
apply_forcing.f.xml,APPLY_FORCING_U
apply_forcing.f.xml,APPLY_FORCING_T
apply_forcing.f.xml,APPLY_FORCING_S
bar2.f.xml,BAR2
bar2.f.xml,BAR2_INIT
bar_check.f.xml,BAR_CHECK
barrier.f.xml,BARRIER_MU
barrier.f.xml,BARRIER_INIT
barrier.f.xml,BARRIER
barrier.f.xml,BARRIER_MS
cal_addtime.f.xml,CAL_ADDTIME
cal_checkdate.f.xml,CAL_CHECKDATE
cal_compdates.f.xml,cal_CompDates
cal_convdate.f.xml,CAL_CONVDATE
cal_copydate.f.xml,cal_CopyDate
cal_daysformonth.f.xml,cal_DaysForMonth
cal_dayspermonth.f.xml,cal_DaysPerMonth
cal_fulldate.f.xml,CAL_FULLDATE
cal_getdate.f.xml,CAL_GETDATE
cal_getmonthsrec.f.xml,cal_GetMonthsRec
cal_init_fixed.f.xml,CAL_INIT_FIXED
cal_intdays.f.xml,cal_IntDays
cal_intmonths.f.xml,cal_IntMonths
cal_intyears.f.xml,cal_IntYears
cal_isleap.f.xml,CAL_ISLEAP
cal_monthsforyear.f.xml,cal_MonthsForYear
cal_monthsperyear.f.xml,cal_MonthsPerYear
cal_numints.f.xml,cal_NumInts
cal_printdate.f.xml,cal_PrintDate
cal_printerror.f.xml,cal_PrintError
cal_readparms.f.xml,CAL_READPARMS
cal_set.f.xml,CAL_SET
cal_stepsforday.f.xml,cal_StepsForDay
cal_stepsperday.f.xml,cal_StepsPerDay
cal_subdates.f.xml,CAL_SUBDATES
cal_summary.f.xml,CAL_SUMMARY
cal_time2dump.f.xml,CAL_TIME2DUMP
cal_timeinterval.f.xml,CAL_TIMEINTERVAL
cal_timepassed.f.xml,CAL_TIMEPASSED
cal_timestamp.f.xml,cal_TimeStamp
cal_toseconds.f.xml,CAL_TOSECONDS
cal_weekday.f.xml,cal_WeekDay
