Calls to operations that could not be found:
CtoA.f.xml:CtoA --> exch_uv_xyz_RL
all_proc_die.f.xml:ALL_PROC_DIE --> MAX
apply_forcing.f.xml:APPLY_FORCING_S --> FIZHI_TENDENCY_APPLY_S
apply_forcing.f.xml:APPLY_FORCING_T --> FIZHI_TENDENCY_APPLY_T
apply_forcing.f.xml:APPLY_FORCING_U --> FIZHI_TENDENCY_APPLY_U
apply_forcing.f.xml:APPLY_FORCING_V --> FIZHI_TENDENCY_APPLY_V
bar2.f.xml:BAR2 --> MAX
bar2.f.xml:BAR2 --> MIN
calc_3d_diffusivity.f.xml:CALC_3D_DIFFUSIVITY --> MAX
calc_3d_diffusivity.f.xml:CALC_3D_DIFFUSIVITY --> MIN
calc_3d_diffusivity.f.xml:CALC_3D_DIFFUSIVITY --> MOD
calc_3d_diffusivity.f.xml:CALC_3D_DIFFUSIVITY --> atan
calc_grid_angles.f.xml:CALC_GRID_ANGLES --> COS
calc_grid_angles.f.xml:CALC_GRID_ANGLES --> SIN
calc_grid_angles.f.xml:CALC_GRID_ANGLES --> SQRT
calc_oce_mxlayer.f.xml:CALC_OCE_MXLAYER --> MAX
calc_oce_mxlayer.f.xml:CALC_OCE_MXLAYER --> MIN
calc_oce_mxlayer.f.xml:CALC_OCE_MXLAYER --> klowC
calc_phi_hyd.f.xml:CALC_PHI_HYD --> MAX
calc_phi_hyd.f.xml:CALC_PHI_HYD --> MIN
calc_r_star.f.xml:CALC_R_STAR --> max
calc_surf_dr.f.xml:CALC_SURF_DR --> MIN
calc_surf_dr.f.xml:CALC_SURF_DR --> hfacC
calc_surf_dr.f.xml:CALC_SURF_DR --> nint
calc_viscosity.f.xml:CALC_VISCOSITY --> MAX
calc_viscosity.f.xml:CALC_VISCOSITY --> MIN
calc_viscosity.f.xml:CALC_VISCOSITY --> MOD
calc_wsurf_tr.f.xml:CALC_WSURF_TR --> ksurfC
cg2d.f.xml:CG2D --> ABS
cg2d.f.xml:CG2D --> MAX
cg2d.f.xml:CG2D --> MOD
cg2d.f.xml:CG2D --> SQRT
cg2d_ex0.f.xml:CG2D_EX0 --> ABS
cg2d_ex0.f.xml:CG2D_EX0 --> MAX
cg2d_ex0.f.xml:CG2D_EX0 --> MIN
cg2d_ex0.f.xml:CG2D_EX0 --> MOD
cg2d_ex0.f.xml:CG2D_EX0 --> NINT
cg2d_ex0.f.xml:CG2D_EX0 --> SQRT
check_pickup.f.xml:CHECK_PICKUP --> MIN
check_threads.f.xml:CHECK_THREADS --> SYSTEM
chksum_tiled.f.xml:CHKSUM_TILED --> float
chksum_tiled.f.xml:CHKSUM_TILED --> max
chksum_tiled.f.xml:CHKSUM_TILED --> min
chksum_tiled.f.xml:CHKSUM_TILED --> sqrt
comm_stats.f.xml:COMM_STATS --> FLOAT
convective_weights.f.xml:CONVECTIVE_WEIGHTS --> rhok
convective_weights.f.xml:CONVECTIVE_WEIGHTS --> rhokm1
correction_step.f.xml:CORRECTION_STEP --> MAX
correction_step.f.xml:CORRECTION_STEP --> MIN
debug_cs_corner_uv.f.xml:DEBUG_CS_CORNER_UV --> MAX
debug_cs_corner_uv.f.xml:DEBUG_CS_CORNER_UV --> MIN
debug_fld_stats_rl.f.xml:DEBUG_FLD_STATS_RL --> MAX
debug_fld_stats_rl.f.xml:DEBUG_FLD_STATS_RL --> MIN
debug_fld_stats_rl.f.xml:DEBUG_FLD_STATS_RL --> SQRT
debug_fld_stats_rs.f.xml:DEBUG_FLD_STATS_RS --> MAX
debug_fld_stats_rs.f.xml:DEBUG_FLD_STATS_RS --> MIN
debug_fld_stats_rs.f.xml:DEBUG_FLD_STATS_RS --> SQRT
diag_cg2d.f.xml:DIAG_CG2D --> MOD
diag_cg2d.f.xml:DIAG_CG2D --> SQRT
diag_vegtile_fill.f.xml:DIAG_VEGTILE_FILL --> ABS
diag_vegtile_fill.f.xml:DIAG_VEGTILE_FILL --> INT
diag_vegtile_fill.f.xml:DIAG_VEGTILE_FILL --> MAX
diag_vegtile_fill.f.xml:DIAG_VEGTILE_FILL --> MIN
diag_vegtile_fill.f.xml:DIAG_VEGTILE_FILL --> MOD
diagnostics_calc_phivel.f.xml:DIAGNOSTICS_CALC_PHIVEL --> ABS
diagnostics_calc_phivel.f.xml:DIAGNOSTICS_CALC_PHIVEL --> MAX
diagnostics_calc_phivel.f.xml:DIAGNOSTICS_CALC_PHIVEL --> NINT
diagnostics_check.f.xml:DIAGNOSTICS_CHECK --> ABS
diagnostics_check.f.xml:DIAGNOSTICS_CHECK --> MAX
diagnostics_check.f.xml:DIAGNOSTICS_CHECK --> MIN
diagnostics_clear.f.xml:DIAGNOSTICS_CLEAR --> ABS
diagnostics_fill.f.xml:DIAGNOSTICS_FILL --> ABS
diagnostics_fill.f.xml:DIAGNOSTICS_FILL --> MAX
diagnostics_fill.f.xml:DIAGNOSTICS_FILL --> MIN
