callerfilename,callermodule,callerfunction,calleefilename,calleemodule,calleefunction
./apps/matplotlib/galleries/users_explain/axes/arranging_axes.py,arranging_axes,create_artists,./apps/matplotlib/galleries/examples/event_handling/ginput_manual_clabel_sgskip.py,ginput_manual_clabel_sgskip,fig.suptitle
./apps/matplotlib/lib/matplotlib/colors.py,matplotlib.colors,from_list,./apps/matplotlib/lib/matplotlib/ticker.py,matplotlib.ticker,len
./apps/matplotlib/lib/matplotlib/ticker.py,matplotlib.ticker,set_params,./apps/matplotlib/galleries/examples/event_handling/ginput_manual_clabel_sgskip.py,ginput_manual_clabel_sgskip,float
./apps/matplotlib/lib/matplotlib/tests/test_text.py,matplotlib.tests.test_text,test_va_for_angle,./apps/matplotlib/galleries/examples/event_handling/ginput_manual_clabel_sgskip.py,ginput_manual_clabel_sgskip,text_instance._va_for_angle
./apps/matplotlib/lib/matplotlib/tests/test_determinism.py,matplotlib.tests.test_determinism,_save_figure,./apps/matplotlib/lib/matplotlib/spines.py,matplotlib.spines,ax2.set_xticks
./apps/matplotlib/lib/matplotlib/contour.py,matplotlib.contour,find_nearest_contour,./apps/matplotlib/galleries/examples/event_handling/ginput_manual_clabel_sgskip.py,ginput_manual_clabel_sgskip,self._find_nearest_contour
./apps/matplotlib/lib/matplotlib/tests/test_collections.py,matplotlib.tests.test_collections,test__EventCollection__add_positions,./apps/matplotlib/lib/matplotlib/spines.py,matplotlib.spines,splt.set_xlim
./apps/matplotlib/lib/matplotlib/tests/test_colors.py,matplotlib.tests.test_colors,test_SymLogNorm,./apps/matplotlib/galleries/examples/mplot3d/imshow3d.py,imshow3d,norm
./apps/matplotlib/lib/mpl_toolkits/mplot3d/tests/test_axes3d.py,matplotlib.tests.test_axes3d,test_wireframe3dzerorstride,./apps/matplotlib/galleries/examples/event_handling/ginput_manual_clabel_sgskip.py,ginput_manual_clabel_sgskip,ax.plot_wireframe
./apps/matplotlib/lib/matplotlib/dates.py,matplotlib.dates,_dt64_to_ordinalf,./apps/matplotlib/lib/matplotlib/widgets.py,matplotlib.widgets,astype
./apps/matplotlib/lib/matplotlib/tests/test_datetime.py,matplotlib.tests.test_datetime,test_barh,./apps/matplotlib/lib/matplotlib/pyplot.py,matplotlib.pyplot,plt.subplots
./apps/matplotlib/lib/matplotlib/ticker.py,matplotlib.ticker,set_params,./apps/matplotlib/galleries/examples/event_handling/ginput_manual_clabel_sgskip.py,ginput_manual_clabel_sgskip,self._set_subs
./apps/matplotlib/lib/matplotlib/tests/test_colors.py,matplotlib.tests.test_colors,test_SymLogNorm,./apps/matplotlib/lib/matplotlib/widgets.py,matplotlib.widgets,assert_array_almost_equal
./apps/matplotlib/lib/mpl_toolkits/mplot3d/tests/test_axes3d.py,matplotlib.tests.test_axes3d,test_wireframe3dzerorstride,./apps/matplotlib/lib/matplotlib/testing/decorators.py,matplotlib.testing.decorators,mpl3d_image_comparison
./apps/matplotlib/galleries/users_explain/axes/arranging_axes.py,arranging_axes,annotate_axes,./apps/matplotlib/lib/matplotlib/spines.py,matplotlib.spines,ax.text
./apps/matplotlib/lib/matplotlib/spines.py,matplotlib.spines,get_window_extent,./apps/matplotlib/galleries/examples/event_handling/ginput_manual_clabel_sgskip.py,ginput_manual_clabel_sgskip,self.axis._update_ticks
./apps/matplotlib/lib/matplotlib/tests/test_determinism.py,matplotlib.tests.test_determinism,_save_figure,./apps/matplotlib/lib/matplotlib/tests/test_triangulation.py,matplotlib.tests.test_triangulation,zip
./apps/matplotlib/lib/matplotlib/colors.py,matplotlib.colors,from_list,./apps/matplotlib/lib/matplotlib/tests/test_triangulation.py,matplotlib.tests.test_triangulation,itertools.zip_longest
./apps/matplotlib/lib/mpl_toolkits/mplot3d/axes3d.py,matplotlib.mplot3d.axes3d,permutation_matrices,./apps/matplotlib/galleries/examples/event_handling/ginput_manual_clabel_sgskip.py,ginput_manual_clabel_sgskip,voxel_faces.voxel_faces.append
./apps/matplotlib/lib/matplotlib/contour.py,matplotlib.contour,find_nearest_contour,++unknown-component++,++unknown-component++,np.cumsum
./apps/matplotlib/lib/matplotlib/tests/test_determinism.py,matplotlib.tests.test_determinism,_save_figure,./apps/matplotlib/lib/matplotlib/pyplot.py,matplotlib.pyplot,bar.set_hatch
./apps/matplotlib/lib/matplotlib/dates.py,matplotlib.dates,_dt64_to_ordinalf,./apps/matplotlib/galleries/examples/axisartist/demo_curvelinear_grid.py,demo_curvelinear_grid,extra.astype
./apps/matplotlib/lib/matplotlib/tests/test_colors.py,matplotlib.tests.test_colors,test_SymLogNorm,./apps/matplotlib/lib/matplotlib/colors.py,matplotlib.colors.Norm,mcolors.SymLogNorm
./apps/matplotlib/lib/matplotlib/spines.py,matplotlib.spines,get_window_extent,./apps/matplotlib/lib/matplotlib/spines.py,matplotlib.spines,next
./apps/matplotlib/lib/matplotlib/tests/test_datetime.py,matplotlib.tests.test_datetime,test_barh,./apps/matplotlib/lib/matplotlib/widgets.py,matplotlib.widgets,np.array
./apps/matplotlib/lib/matplotlib/contour.py,matplotlib.contour,find_nearest_contour,++imported++,numpy,map
