source-path,source-module,source-operation,target-path,target-module,target-operation,direction
./apps/matplotlib/lib/matplotlib/dates.py,matplotlib.dates,dt,./apps/matplotlib/galleries/examples/images_contours_and_fields/image_demo.py,image_demo,astype,WRITE
./apps/matplotlib/lib/matplotlib/spines.py,matplotlib.spines,bboxes,./apps/matplotlib/lib/matplotlib/tests/test_backend_ps.py,matplotlib.tests.test_backend_ps,bb,WRITE
./apps/matplotlib/lib/matplotlib/tests/test_datetime.py,matplotlib.tests.test_datetime,++empty++,./apps/matplotlib/galleries/examples/lines_bars_and_markers/spectrum_demo.py,spectrum_demo,plt.subplots,WRITE
./apps/matplotlib/lib/matplotlib/contour.py,matplotlib.contour,++empty++,./apps/matplotlib/galleries/examples/lines_bars_and_markers/spectrum_demo.py,spectrum_demo,ContourSet,WRITE
./apps/matplotlib/lib/matplotlib/colors.py,matplotlib.colors,_vals,./apps/matplotlib/galleries/examples/lines_bars_and_markers/spectrum_demo.py,spectrum_demo,itertools.zip_longest,WRITE
./apps/matplotlib/lib/matplotlib/spines.py,matplotlib.spines,drawn_ticks,./apps/matplotlib/lib/matplotlib/colorizer.py,matplotlib.colorizer,Spine,WRITE
./apps/matplotlib/lib/matplotlib/dviread.py,matplotlib.dviread.DviFont,self.texname,./apps/matplotlib/galleries/examples/units/radian_demo.py,radian_demo,texname,WRITE
./apps/matplotlib/lib/matplotlib/colors.py,matplotlib.colors,_colors,./apps/matplotlib/galleries/examples/lines_bars_and_markers/spectrum_demo.py,spectrum_demo,itertools.zip_longest,WRITE
./apps/matplotlib/lib/matplotlib/dates.py,matplotlib.dates,dt,./apps/matplotlib/galleries/examples/images_contours_and_fields/image_demo.py,image_demo,extra.astype,WRITE
./apps/matplotlib/lib/matplotlib/dviread.py,matplotlib.dviread,widths,./apps/matplotlib/lib/matplotlib/tests/test_text.py,matplotlib.tests.test_text,_api.deprecated,WRITE
./apps/matplotlib/lib/matplotlib/dviread.py,matplotlib.dviread.DviFont,self.size,./apps/matplotlib/lib/matplotlib/dviread.py,matplotlib.dviread,scale,WRITE
./apps/matplotlib/lib/matplotlib/tests/test_text.py,matplotlib.tests.test_text,fig,./apps/matplotlib/galleries/examples/lines_bars_and_markers/spectrum_demo.py,spectrum_demo,plt.subplots,WRITE
./apps/matplotlib/lib/matplotlib/tests/test_colors.py,matplotlib.tests.test_colors,norm,./apps/matplotlib/galleries/examples/images_contours_and_fields/image_demo.py,image_demo,mcolors.SymLogNorm,WRITE
./apps/matplotlib/lib/matplotlib/tests/test_datetime.py,matplotlib.tests.test_datetime,birth_date,./apps/matplotlib/galleries/examples/images_contours_and_fields/image_demo.py,image_demo,np.array,WRITE
./apps/matplotlib/lib/matplotlib/ticker.py,matplotlib.ticker,self.numticks,./apps/matplotlib/galleries/examples/lines_bars_and_markers/spectrum_demo.py,spectrum_demo,numticks,WRITE
./apps/matplotlib/lib/matplotlib/spines.py,matplotlib.spines,major_tick,./apps/matplotlib/galleries/examples/units/radian_demo.py,radian_demo,next,WRITE
./apps/matplotlib/galleries/users_explain/axes/arranging_axes.py,arranging_axes,fig,./apps/matplotlib/galleries/examples/lines_bars_and_markers/spectrum_demo.py,spectrum_demo,plt.subplot_mosaic,WRITE
./apps/matplotlib/lib/matplotlib/contour.py,matplotlib.contour,cc_cumlens,./apps/matplotlib/lib/matplotlib/colorizer.py,matplotlib.colorizer,np.cumsum,WRITE
./apps/matplotlib/galleries/users_explain/axes/arranging_axes.py,arranging_axes,axd,./apps/matplotlib/galleries/examples/lines_bars_and_markers/spectrum_demo.py,spectrum_demo,plt.subplot_mosaic,WRITE
./apps/matplotlib/lib/matplotlib/tests/test_text.py,matplotlib.tests.test_text,ax,./apps/matplotlib/galleries/examples/lines_bars_and_markers/spectrum_demo.py,spectrum_demo,plt.subplots,WRITE
./apps/matplotlib/lib/mpl_toolkits/mplot3d/tests/test_axes3d.py,matplotlib.tests.test_axes3d,fig,./apps/matplotlib/lib/matplotlib/tests/test_arrow_patches.py,matplotlib.tests.test_arrow_patches,plt.figure,WRITE
./apps/matplotlib/lib/matplotlib/colors.py,matplotlib.colors,vals,./apps/matplotlib/galleries/examples/images_contours_and_fields/image_demo.py,image_demo,np.asarray,WRITE
./apps/matplotlib/lib/matplotlib/dates.py,matplotlib.dates,dt,./apps/matplotlib/lib/matplotlib/tests/test_text.py,matplotlib.tests.test_text,dt,WRITE
./apps/matplotlib/lib/matplotlib/tests/test_colors.py,matplotlib.tests.test_colors,nn,./apps/matplotlib/galleries/examples/mplot3d/voxels_torus.py,voxels_torus,norm,WRITE
