callerfilename,callermodule,callerfunction,calleefilename,calleemodule,calleefunction
apps/anytree/tests/test_iterators.py,anytree.tests.test_iterators,test_postorder,apps/anytree/tests/helper.py,anytree.tests.helper,eq_
apps/anytree/tests/test_resolver.py,anytree.tests.test_resolver,test_get,apps/anytree/src/anytree/resolver.py,anytree.resolver.Resolver,at.Resolver
apps/anytree/src/anytree/exporter/jsonexporter.py,anytree.exporter.jsonexporter,write,json,json,json.dump
apps/anytree/src/anytree/exporter/dotexporter.py,anytree.exporter.dotexporter,_default_nodenamefunc,unittest,unittest,id
apps/anytree/tests/test_mermaidexporter.py,anytree.tests.test_mermaidexporter,root,apps/anytree/src/anytree/node/node.py,anytree.node.node.Node,Node
apps/anytree/tests/test_render.py,anytree.tests.test_render,__repr__,apps/anytree/src/anytree/render.py,anytree.render.RenderTree,anytree.RenderTree
apps/anytree/tests/test_iterators.py,anytree.tests.test_iterators,test_postorder,tarfile,tarfile,list
apps/anytree/src/anytree/exporter/jsonexporter.py,anytree.exporter.jsonexporter,write,apps/anytree/src/anytree/exporter/dictexporter.py,anytree.exporter.dictexporter,self._export
apps/anytree/tests/test_search.py,anytree.tests.test_search,test_findall_by_attr,apps/anytree/src/anytree/node/node.py,anytree.node.node.Node,Node
apps/anytree/tests/test_mermaidexporter.py,anytree.tests.test_mermaidexporter,root,apps/anytree/src/anytree/node/node.py,anytree.node.node.Node,Node
apps/anytree/tests/test_resolver.py,anytree.tests.test_resolver,test_get,apps/anytree/src/anytree/render.py,anytree.render,r.get
apps/anytree/tests/test_search.py,anytree.tests.test_search,test_findall,apps/anytree/src/anytree/node/node.py,anytree.node.node.Node,Node
apps/anytree/src/anytree/exporter/mermaidexporter.py,anytree.exporter.mermaidexporter,write,calendar,calendar,re.compile
apps/anytree/tests/test_resolver.py,anytree.tests.test_resolver,test_get,apps/anytree/src/anytree/render.py,anytree.render,r.get
apps/anytree/tests/test_iterators.py,anytree.tests.test_iterators,test_levelorder,apps/anytree/src/anytree/node/node.py,anytree.node.node.Node,Node
apps/anytree/tests/test_resolver.py,anytree.tests.test_resolver,test_get,apps/anytree/src/anytree/render.py,anytree.render,r.get
apps/anytree/tests/test_resolver.py,anytree.tests.test_resolver,test_get,apps/anytree/src/anytree/render.py,anytree.render,r.get
apps/anytree/tests/test_search.py,anytree.tests.test_search,test_findall_by_attr,apps/anytree/src/anytree/node/node.py,anytree.node.node.Node,Node
apps/anytree/tests/test_iterators.py,anytree.tests.test_iterators,test_levelorder,apps/anytree/src/anytree/node/node.py,anytree.node.node.Node,Node
apps/anytree/src/anytree/exporter/jsonexporter.py,anytree.exporter.jsonexporter,export,json,json,json.dumps
apps/anytree/tests/test_search.py,anytree.tests.test_search,test_findall_by_attr,apps/anytree/src/anytree/node/node.py,anytree.node.node.Node,Node
apps/anytree/tests/test_iterators.py,anytree.tests.test_iterators,test_preorder,apps/anytree/src/anytree/node/node.py,anytree.node.node.Node,Node
apps/anytree/src/anytree/exporter/jsonexporter.py,anytree.exporter.jsonexporter,export,apps/anytree/src/anytree/exporter/dictexporter.py,anytree.exporter.dictexporter,self._export
apps/anytree/tests/test_iterators.py,anytree.tests.test_iterators,test_preorder,apps/anytree/tests/helper.py,anytree.tests.helper,eq_
apps/anytree/tests/test_iterators.py,anytree.tests.test_iterators,test_levelorder,apps/anytree/src/anytree/node/node.py,anytree.node.node.Node,Node
apps/anytree/tests/test_search.py,anytree.tests.test_search,test_findall,apps/anytree/src/anytree/node/node.py,anytree.node.node.Node,Node
apps/anytree/tests/test_iterators.py,anytree.tests.test_iterators,test_preorder,tarfile,tarfile,list
apps/anytree/src/anytree/exporter/jsonexporter.py,anytree.exporter.jsonexporter,_export,apps/anytree/src/anytree/exporter/dictexporter.py,anytree.exporter.dictexporter,dictexporter.export
apps/anytree/src/anytree/search.py,anytree.search,_findall,apps/anytree/src/anytree/iterators/preorderiter.py,anytree.iterators.preorderiter.PreOrderIter,PreOrderIter
apps/anytree/tests/test_iterators.py,anytree.tests.test_iterators,test_levelorder,apps/anytree/src/anytree/node/node.py,anytree.node.node.Node,Node
apps/anytree/tests/test_iterators.py,anytree.tests.test_iterators,test_preorder,apps/anytree/src/anytree/iterators/preorderiter.py,anytree.iterators.preorderiter.PreOrderIter,PreOrderIter
apps/anytree/tests/test_iterators.py,anytree.tests.test_iterators,test_preorder,apps/anytree/tests/helper.py,anytree.tests.helper,eq_
apps/anytree/tests/test_iterators.py,anytree.tests.test_iterators,test_levelorder,apps/anytree/src/anytree/node/node.py,anytree.node.node.Node,Node
apps/anytree/tests/test_iterators.py,anytree.tests.test_iterators,test_preorder,tarfile,tarfile,list
apps/anytree/conftest.py,conftest,_docdir,apps/anytree/src/anytree/render.py,anytree.render,request.config.pluginmanager.getplugin
apps/anytree/tests/test_iterators.py,anytree.tests.test_iterators,test_preorder,apps/anytree/src/anytree/iterators/preorderiter.py,anytree.iterators.preorderiter.PreOrderIter,PreOrderIter
apps/anytree/tests/test_iterators.py,anytree.tests.test_iterators,test_preorder,apps/anytree/tests/helper.py,anytree.tests.helper,eq_
apps/anytree/tests/test_iterators.py,anytree.tests.test_iterators,test_levelorder,apps/anytree/src/anytree/node/node.py,anytree.node.node.Node,Node
apps/anytree/src/anytree/exporter/dictexporter.py,anytree.exporter.dictexporter,export,apps/anytree/src/anytree/exporter/dictexporter.py,anytree.exporter.dictexporter,self.__export
apps/anytree/src/anytree/search.py,anytree.search,_findall,_operator,_operator,tuple
apps/anytree/tests/test_iterators.py,anytree.tests.test_iterators,test_preorder,tarfile,tarfile,list
apps/anytree/tests/test_search.py,anytree.tests.test_search,test_findall,apps/anytree/tests/helper.py,anytree.tests.helper,eq_
apps/anytree/tests/test_iterators.py,anytree.tests.test_iterators,test_levelorder,apps/anytree/src/anytree/node/node.py,anytree.node.node.Node,Node
apps/anytree/src/anytree/exporter/mermaidexporter.py,anytree.exporter.mermaidexporter,__iter,apps/anytree/src/anytree/exporter/mermaidexporter.py,anytree.exporter.mermaidexporter,self.__iter_edges
apps/anytree/tests/test_iterators.py,anytree.tests.test_iterators,test_preorder,apps/anytree/src/anytree/iterators/preorderiter.py,anytree.iterators.preorderiter.PreOrderIter,PreOrderIter
apps/anytree/tests/test_iterators.py,anytree.tests.test_iterators,test_preorder,apps/anytree/tests/helper.py,anytree.tests.helper,eq_
apps/anytree/src/anytree/exporter/mermaidexporter.py,anytree.exporter.mermaidexporter,__iter,apps/anytree/src/anytree/exporter/mermaidexporter.py,anytree.exporter.mermaidexporter,self.__iter_options
apps/anytree/tests/test_iterators.py,anytree.tests.test_iterators,test_levelorder,apps/anytree/src/anytree/node/node.py,anytree.node.node.Node,Node
apps/anytree/tests/test_iterators.py,anytree.tests.test_iterators,test_preorder,tarfile,tarfile,list
apps/anytree/conftest.py,conftest,_docdir,calendar,calendar,isinstance
apps/anytree/src/anytree/exporter/dictexporter.py,anytree.exporter.dictexporter,_iter_attr_values,optparse,optparse,node.__dict__.items
apps/anytree/tests/test_iterators.py,anytree.tests.test_iterators,test_preorder,apps/anytree/src/anytree/iterators/preorderiter.py,anytree.iterators.preorderiter.PreOrderIter,PreOrderIter
apps/anytree/tests/test_iterators.py,anytree.tests.test_iterators,test_preorder,apps/anytree/tests/helper.py,anytree.tests.helper,eq_
apps/anytree/tests/test_iterators.py,anytree.tests.test_iterators,test_levelorder,apps/anytree/src/anytree/node/node.py,anytree.node.node.Node,Node
apps/anytree/conftest.py,conftest,_docdir,optparse,optparse,tmpdir.as_cwd
