source-path,source-module,source-operation,target-path,target-module,target-operation,direction
apps/anytree/src/anytree/exporter/mermaidexporter.py,anytree.exporter.mermaidexporter,self.__node_ids,apps/anytree/tests/test_search.py,anytreetests.test_search,next,WRITE
apps/anytree/tests/test_lightnode.py,anytreetests.test_lightnode,s1c,apps/anytree/tests/test_walker.py,anytreetests.test_walker,LightNode,WRITE
apps/anytree/tests/test_pickle.py,anytreetests.test_pickle,loaded,apps/anytree/tests/test_node.py,anytreetests.test_node,pickle.load,WRITE
apps/anytree/tests/test_render.py,anytreetests.test_render,r,apps/anytree/tests/test_search.py,anytreetests.test_search,anytree.RenderTree,WRITE
apps/anytree/src/anytree/node/nodemixin.py,anytreenode.nodemixin,parentchildren,apps/anytree/tests/test_node.py,anytreetests.test_node,parent.__children_or_empty,WRITE
apps/anytree/src/anytree/exporter/dotexporter.py,anytree.exporter.dotexporter,self.__node_ids,apps/anytree/tests/test_search.py,anytreetests.test_search,next,WRITE
apps/anytree/src/anytree/iterators/zigzaggroupiter.py,anytreeiterators.zigzaggroupiter,_iter,apps/anytree/tests/test_search.py,anytreetests.test_search,LevelOrderGroupIter,WRITE
apps/anytree/tests/test_dictexporter.py,anytreetests.test_dictexporter,root,apps/anytree/tests/test_search.py,anytreetests.test_search,Node,WRITE
apps/anytree/tests/test_dictexporter.py,anytreetests.test_dictexporter,s0a,apps/anytree/tests/test_search.py,anytreetests.test_search,Node,WRITE
apps/anytree/tests/test_lightnode.py,anytreetests.test_lightnode,h,apps/anytree/tests/test_walker.py,anytreetests.test_walker,LightNode,WRITE
apps/anytree/tests/test_node.py,anytreetests.test_node,root,apps/anytree/tests/test_search.py,anytreetests.test_search,Node,WRITE
apps/anytree/src/anytree/node/util.py,anytreenode.util,args,apps/anytree/tests/test_walker.py,anytreetests.test_walker,args,WRITE
apps/anytree/src/anytree/node/util.py,anytreenode.util,nameblacklist,apps/anytree/tests/test_node.py,anytreetests.test_node,nameblacklist,WRITE
apps/anytree/src/anytree/exporter/dictexporter.py,anytree.exporter.dictexporter.DictExporter,self.attriter,apps/anytree/tests/test_walker.py,anytreetests.test_walker,attriter,WRITE
apps/anytree/src/anytree/exporter/mermaidexporter.py,anytree.exporter.mermaidexporter,num,apps/anytree/tests/test_search.py,anytreetests.test_search,next,WRITE
apps/anytree/tests/test_lightnode.py,anytreetests.test_lightnode,s1,apps/anytree/tests/test_walker.py,anytreetests.test_walker,LightNode,WRITE
apps/anytree/tests/test_node.py,anytreetests.test_node,root,apps/anytree/tests/test_search.py,anytreetests.test_search,Node,WRITE
apps/anytree/tests/test_node_attach_detach.py,anytreetests.test_node_attach_detach,s1a,apps/anytree/tests/test_search.py,anytreetests.test_search,TNode,WRITE
apps/anytree/tests/test_util.py,anytreetests.test_util,jan,apps/anytree/tests/test_search.py,anytreetests.test_search,Node,WRITE
apps/anytree/tests/test_special_methods_access.py,anytreetests.test_special_methods_access,_,apps/anytree/tests/test_node.py,anytreetests.test_node,TestConsistency,WRITE
apps/anytree/tests/test_resolver.py,anytreetests.test_resolver,r,apps/anytree/tests/test_search.py,anytreetests.test_search,at.Resolver,WRITE
apps/anytree/tests/test_util.py,anytreetests.test_util,dan,apps/anytree/tests/test_search.py,anytreetests.test_search,Node,WRITE
apps/anytree/tests/test_lightnode.py,anytreetests.test_lightnode,s0,apps/anytree/tests/test_walker.py,anytreetests.test_walker,LightNode,WRITE
apps/anytree/tests/test_lightnode.py,anytreetests.test_lightnode,s1ca,apps/anytree/tests/test_walker.py,anytreetests.test_walker,LightNode,WRITE
apps/anytree/tests/test_render.py,anytreetests.test_render,result,apps/anytree/tests/test_dotexport.py,anytreetests.test_dotexport,r,WRITE
apps/anytree/tests/test_search.py,anytreetests.test_search,i,apps/anytree/tests/test_search.py,anytreetests.test_search,Node,WRITE
apps/anytree/tests/test_node_attach_detach.py,anytreetests.test_node_attach_detach,s1b,apps/anytree/tests/test_search.py,anytreetests.test_search,TNode,WRITE
apps/anytree/src/anytree/exporter/mermaidexporter.py,anytree.exporter.mermaidexporter,num,apps/anytree/tests/test_walker.py,anytreetests.test_walker,MermaidExporter,WRITE
apps/anytree/src/anytree/importer/jsonimporter.py,anytreeimporter.jsonimporter,dictimporter,apps/anytree/tests/test_search.py,anytreetests.test_search,JsonImporter,WRITE
apps/anytree/src/anytree/node/symlinknode.py,anytreenode.symlinknode,self.children,apps/anytree/tests/test_node.py,anytreetests.test_node,children,WRITE
