source-path,source-module,source-operation,target-path,target-module,target-operation,direction
./apps/scipy/scipy/integrate/_lebedev.py,scipy.integrate._lebedev,leb_tmp,./apps/scipy/scipy/special/_precompute/wright_bessel.py,special._precompute.wright_bessel,get_lebedev_recurrence_points,WRITE
./apps/scipy/scipy/stats/_stats_py.py,scipy.stats._stats_py,data_all,./apps/scipy/scipy/io/_mmio.py,ci.io._mmio,np.concatenate,WRITE
./apps/scipy/scipy/stats/_multivariate.py,scipy.stats._multivariate,vonmises_fisher,./apps/scipy/scipy/interpolate/_interpolate.py,s.interpolate._interpolate,vonmises_fisher_gen,WRITE
./apps/scipy/scipy/linalg/tests/test_basic.py,linalg.tests.test_basic,x,./apps/scipy/scipy/special/_precompute/wright_bessel.py,special._precompute.wright_bessel,solve,WRITE
./apps/scipy/scipy/stats/_mstats_basic.py,scipy.stats._mstats_basic,df,./apps/scipy/scipy/stats/_stats_py.py,scipy.stats._stats_py,n2,WRITE
./apps/scipy/scipy/stats/tests/test_multivariate.py,scipy.stats.tests.test_multivariate,X,./apps/scipy/scipy/io/_mmio.py,ci.io._mmio,np.array.T,WRITE
./apps/scipy/scipy/integrate/_lebedev.py,scipy.integrate._lebedev,start,./apps/scipy/scipy/special/_precompute/wright_bessel.py,special._precompute.wright_bessel,get_lebedev_recurrence_points,WRITE
./apps/scipy/scipy/stats/_mstats_basic.py,scipy.stats._mstats_basic,df,./apps/scipy/scipy/optimize/tests/test__numdiff.py,optimize.tests.test__numdiff,np.where,WRITE
./apps/scipy/scipy/stats/_stats_pythran.py,scipy.stats._stats_pythran,deltay,./apps/scipy/scipy/io/_mmio.py,ci.io._mmio,np.expand_dims,WRITE
./apps/scipy/scipy/sparse/linalg/_isolve/tests/test_lsmr.py,_isolve.tests.test_lsmr,data,./apps/scipy/scipy/io/_mmio.py,ci.io._mmio,hstack,WRITE
./apps/scipy/scipy/optimize/tests/test_isotonic_regression.py,optimize.tests.test_isotonic_regression,res,./apps/scipy/scipy/stats/tests/test_morestats.py,scipy.stats.tests.test_morestats,isotonic_regression,WRITE
./apps/scipy/scipy/stats/_stats_pythran.py,scipy.stats._stats_pythran,deltay,./apps/scipy/scipy/special/utils/datafunc.py,special.tests.data.datafunc,y,WRITE
./apps/scipy/scipy/stats/_stats_py.py,scipy.stats._stats_py,cdf1,./apps/scipy/scipy/io/_mmio.py,ci.io._mmio,np.searchsorted,WRITE
./apps/scipy/scipy/integrate/_lebedev.py,scipy.integrate._lebedev,leb_tmp,./apps/scipy/scipy/special/_precompute/wright_bessel.py,special._precompute.wright_bessel,get_lebedev_recurrence_points,WRITE
./apps/scipy/scipy/stats/_stats_py.py,scipy.stats._stats_py,cdf1,./apps/scipy/scipy/stats/_stats_py.py,scipy.stats._stats_py,n1,WRITE
./apps/scipy/scipy/spatial/transform/tests/test_rotation.py,spatial.transform.tests.test_rotation,a,./apps/scipy/scipy/io/_mmio.py,ci.io._mmio,xp.asarray,WRITE
./apps/scipy/scipy/interpolate/tests/test_interpolate.py,interpolate.tests.test_interpolate,rng,./apps/scipy/scipy/io/_mmio.py,ci.io._mmio,np.random.RandomState,WRITE
./apps/scipy/scipy/stats/_axis_nan_policy.py,scipy.stats._axis_nan_policy,axis_int,./apps/scipy/scipy/io/_mmio.py,ci.io._mmio,axis.astype,WRITE
./apps/scipy/scipy/stats/tests/test_multivariate.py,scipy.stats.tests.test_multivariate,parameters,./apps/scipy/scipy/io/_mmio.py,ci.io._mmio,np.linspace,WRITE
./apps/scipy/scipy/stats/tests/test_generation/reference_distributions.py,scipy.stats.tests.reference_distributions,fun,./apps/scipy/scipy/special/_precompute/wright_bessel.py,special._precompute.wright_bessel,np.vectorize,WRITE
./apps/scipy/scipy/sparse/tests/test_common1d.py,scipy.s.tests.test_common1d,math_dtypes,./apps/scipy/scipy/interpolate/_interpolate.py,s.interpolate._interpolate,np.float64,WRITE
./apps/scipy/scipy/integrate/_lebedev.py,scipy.integrate._lebedev,start,./apps/scipy/scipy/special/_precompute/wright_bessel.py,special._precompute.wright_bessel,get_lebedev_recurrence_points,WRITE
./apps/scipy/scipy/spatial/transform/tests/test_rigid_transform.py,spatial.transform.tests.test_rigid_transform,expected,./apps/scipy/scipy/spatial/tests/test_kdtree.py,spatial.tests.test_kdtree,t2,WRITE
./apps/scipy/scipy/stats/_stats_py.py,scipy.stats._stats_py,n_list,./apps/scipy/scipy/interpolate/tests/test_rbfinterp.py,interpolate.tests.test_rbfinterp,order,WRITE
./apps/scipy/scipy/stats/_multivariate.py,scipy.stats._multivariate.vonmises_fisher_frozen,self._dist,./apps/scipy/scipy/interpolate/_interpolate.py,s.interpolate._interpolate,vonmises_fisher_gen,WRITE
./apps/scipy/scipy/stats/tests/test_multivariate.py,scipy.stats.tests.test_multivariate,parameters,./apps/scipy/scipy/io/_mmio.py,ci.io._mmio,scale,WRITE
./apps/scipy/scipy/signal/tests/test_ltisys.py,signal.tests.test_ltisys,self.B,./apps/scipy/scipy/io/_mmio.py,ci.io._mmio,np.array,WRITE
./apps/scipy/scipy/sparse/tests/test_common1d.py,scipy.s.tests.test_common1d,math_dtypes,./apps/scipy/scipy/stats/_page_trend_test.py,scipy.stats._page_trend_test,np.complex128,WRITE
./apps/scipy/scipy/spatial/transform/tests/test_rotation.py,spatial.transform.tests.test_rotation,a,./apps/scipy/scipy/io/_mmio.py,ci.io._mmio,xp.asarray,WRITE
./apps/scipy/scipy/stats/tests/test_multivariate.py,scipy.stats.tests.test_multivariate,rng,./apps/scipy/scipy/interpolate/_interpolate.py,s.interpolate._interpolate,np.random.default_rng,WRITE
./apps/scipy/scipy/stats/tests/test_multivariate.py,scipy.stats.tests.test_multivariate,parameters,./apps/scipy/scipy/signal/tests/test_short_time_fft.py,signal.tests.test_short_time_fft,X,WRITE
./apps/scipy/scipy/spatial/transform/tests/test_rigid_transform.py,spatial.transform.tests.test_rigid_transform,expected,./apps/scipy/scipy/sparse/linalg/_eigen/lobpcg/lobpcg.py,_eigen.lobpcg.lobpcg,r2.apply,WRITE
./apps/scipy/scipy/stats/_stats_py.py,scipy.stats._stats_py,current_n,./apps/scipy/scipy/interpolate/tests/test_rbfinterp.py,interpolate.tests.test_rbfinterp,order,WRITE
./apps/scipy/scipy/stats/_mstats_basic.py,scipy.stats._mstats_basic,denom,./apps/scipy/scipy/io/_mmio.py,ci.io._mmio,ma.sqrt,WRITE
./apps/scipy/scipy/spatial/transform/tests/test_rotation.py,spatial.transform.tests.test_rotation,b,./apps/scipy/scipy/io/_mmio.py,ci.io._mmio,xp.asarray,WRITE
./apps/scipy/scipy/interpolate/tests/test_interpolate.py,interpolate.tests.test_interpolate,c,./apps/scipy/scipy/io/_mmio.py,ci.io._mmio,rng.rand,WRITE
./apps/scipy/scipy/integrate/_lebedev.py,scipy.integrate._lebedev,leb_tmp,./apps/scipy/scipy/special/_precompute/wright_bessel.py,special._precompute.wright_bessel,get_lebedev_recurrence_points,WRITE
./apps/scipy/scipy/stats/_stats_py.py,scipy.stats._stats_py,cdf2,./apps/scipy/scipy/io/_mmio.py,ci.io._mmio,np.searchsorted,WRITE
./apps/scipy/scipy/stats/tests/test_generation/reference_distributions.py,scipy.stats.tests.reference_distributions,x,./apps/scipy/scipy/interpolate/_interpolate.py,s.interpolate._interpolate,ReferenceDistribution,WRITE
./apps/scipy/scipy/stats/_stats_py.py,scipy.stats._stats_py,current_n,./apps/scipy/scipy/sparse/linalg/_isolve/lsqr.py,scipy.s._isolve.lsqr,current_n,WRITE
./apps/scipy/scipy/special/tests/test_data.py,special.tests.test_data,_datadir,./apps/scipy/scipy/interpolate/_interpolate.py,s.interpolate._interpolate,importlib.resources.files,WRITE
./apps/scipy/scipy/stats/_stats_py.py,scipy.stats._stats_py,cdf2,./apps/scipy/scipy/stats/_stats_py.py,scipy.stats._stats_py,n2,WRITE
./apps/scipy/scipy/stats/_multivariate.py,scipy.stats._multivariate.vonmises_fisher_frozen,self.dim,./apps/scipy/scipy/interpolate/_interpolate.py,s.interpolate._interpolate,vonmises_fisher_frozen,WRITE
./apps/scipy/scipy/linalg/tests/test_basic.py,linalg.tests.test_basic,a,./apps/scipy/scipy/io/_mmio.py,ci.io._mmio,np.array,WRITE
