callerfilename,callermodule,callerfunction,calleefilename,calleemodule,calleefunction
apps/UXsim/tests/test_verification_straight_road.py,test_verification_straight_road,test_2link_signal,apps/UXsim/tests/test_verification_node.py,test_verification_node,equal_tolerance
apps/UXsim/tests/test_verification_route_choice.py,test_verification_route_choice,test_route_choice_4route_congestion_avoidance_gradual,uxsim,uxsim,print
apps/UXsim/demos_and_examples/example_05jp_gridlock_and_prevention.py,example_05jp_gridlock_and_prevention,show_time_space_diagram,apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,W.analyzer.mfd_to_pandas
apps/UXsim/uxsim/DTAsolvers/DTAsolvers.py,uxsim.DTAsolvers.DTAsolvers,plot_convergence,matplotlib.pyplot,matplotlib.pyplot,plt.figure
apps/UXsim/uxsim/TaxiHandler/TaxiHandler.py,uxsim.TaxiHandler.TaxiHandler,__init__,apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,super.__init__
apps/UXsim/demos_and_examples/example_12en_signal_4legged_intersection_Deep_Reinforcement_Learning_pytorch_control.py,example_12en_signal_4legged_intersection_Deep_Reinforcement_Learning_pytorch_control,push,matplotlib.pyplot,matplotlib.pyplot,Transition
apps/UXsim/uxsim/DTAsolvers/DTAsolvers.py,uxsim.DTAsolvers.DTAsolvers,plot_convergence,matplotlib.pyplot,matplotlib.pyplot,plt.title
apps/UXsim/tests/test_verification_straight_road.py,test_verification_straight_road,test_2link_signal,getopt,getopt,link1.q_mat.link1.q_mat.mean
apps/UXsim/demos_and_examples/example_05jp_gridlock_and_prevention.py,example_05jp_gridlock_and_prevention,show_time_space_diagram,apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,W.analyzer.od_to_pandas
apps/UXsim/tests/test_verification_route_choice.py,test_verification_route_choice,test_route_choice_4route_congestion_avoidance_gradual,matplotlib.pyplot,matplotlib.pyplot,np.average
apps/UXsim/uxsim/TaxiHandler/TaxiHandler.py,uxsim.TaxiHandler.TaxiHandler,__init__,turtle,turtle,super
apps/UXsim/tests/test_verification_straight_road.py,test_verification_straight_road,test_2link_signal,apps/UXsim/tests/test_verification_node.py,test_verification_node,equal_tolerance
apps/UXsim/demos_and_examples/example_12en_signal_4legged_intersection_Deep_Reinforcement_Learning_pytorch_control.py,example_12en_signal_4legged_intersection_Deep_Reinforcement_Learning_pytorch_control,sample,apps/UXsim/demos_and_examples/example_14en_multiple_signals_Deep_Reinforcement_Learning_pytorch.py,example_14en_multiple_signals_Deep_Reinforcement_Learning_pytorch,random.sample
apps/UXsim/demos_and_examples/example_05jp_gridlock_and_prevention.py,example_05jp_gridlock_and_prevention,show_time_space_diagram,apps/UXsim/uxsim/uxsim.py,uxsim.uxsim,W.exec_simulation
apps/UXsim/uxsim/DTAsolvers/DTAsolvers.py,uxsim.DTAsolvers.DTAsolvers,plot_convergence,matplotlib.pyplot,matplotlib.pyplot,plt.plot
apps/UXsim/tests/test_verification_route_choice.py,test_verification_route_choice,test_route_choice_4route_congestion_avoidance_gradual,matplotlib.pyplot,matplotlib.pyplot,np.average
apps/UXsim/uxsim/DTAsolvers/DTAsolvers.py,uxsim.DTAsolvers.DTAsolvers,plot_convergence,matplotlib.pyplot,matplotlib.pyplot,plt.xlabel
apps/UXsim/tests/test_verification_straight_road.py,test_verification_straight_road,test_2link_signal,getopt,getopt,link1.k_mat.link1.k_mat.mean
apps/UXsim/demos_and_examples/example_12en_signal_4legged_intersection_Deep_Reinforcement_Learning_pytorch_control.py,example_12en_signal_4legged_intersection_Deep_Reinforcement_Learning_pytorch_control,__len__,operator,operator,len
apps/UXsim/demos_and_examples/example_05jp_gridlock_and_prevention.py,example_05jp_gridlock_and_prevention,show_time_space_diagram,uxsim,uxsim,print
apps/UXsim/tests/test_verification_route_choice.py,test_verification_route_choice,test_route_choice_4route_congestion_avoidance_gradual,matplotlib.pyplot,matplotlib.pyplot,np.average
apps/UXsim/tests/test_verification_straight_road.py,test_verification_straight_road,test_2link_signal,apps/UXsim/tests/test_verification_node.py,test_verification_node,equal_tolerance
apps/UXsim/uxsim/DTAsolvers/DTAsolvers.py,uxsim.DTAsolvers.DTAsolvers,plot_convergence,matplotlib.pyplot,matplotlib.pyplot,plt.figure
apps/UXsim/demos_and_examples/example_05jp_gridlock_and_prevention.py,example_05jp_gridlock_and_prevention,show_time_space_diagram,apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,W.analyzer.basic_to_pandas
apps/UXsim/uxsim/TaxiHandler/TaxiHandler.py,uxsim.TaxiHandler.TaxiHandler,assign_trip_request_to_taxi,collections.abc,collections.abc,s.W.VEHICLES.values
apps/UXsim/tests/test_verification_route_choice.py,test_verification_route_choice,test_route_choice_4route_congestion_avoidance_gradual,matplotlib.pyplot,matplotlib.pyplot,np.average
apps/UXsim/demos_and_examples/example_12en_signal_4legged_intersection_Deep_Reinforcement_Learning_pytorch_control.py,example_12en_signal_4legged_intersection_Deep_Reinforcement_Learning_pytorch_control,__init__,apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,super.__init__
apps/UXsim/demos_and_examples/example_05jp_gridlock_and_prevention.py,example_05jp_gridlock_and_prevention,show_time_space_diagram,uxsim,uxsim,print
apps/UXsim/demos_and_examples/example_05jp_gridlock_and_prevention.py,example_05jp_gridlock_and_prevention,show_time_space_diagram,apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,W.analyzer.print_simple_stats
apps/UXsim/uxsim/DTAsolvers/DTAsolvers.py,uxsim.DTAsolvers.DTAsolvers,plot_convergence,matplotlib.pyplot,matplotlib.pyplot,plt.title
apps/UXsim/tests/test_verification_straight_road.py,test_verification_straight_road,test_2link_signal,getopt,getopt,link1.v_mat.link1.v_mat.mean
apps/UXsim/demos_and_examples/example_05jp_gridlock_and_prevention.py,example_05jp_gridlock_and_prevention,show_time_space_diagram,apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,W.analyzer.network_fancy
apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,network_average,matplotlib.pyplot,matplotlib.pyplot,plt.plot
apps/UXsim/tests/test_verification_route_choice.py,test_verification_route_choice,test_route_choice_4route_congestion_avoidance_gradual,matplotlib.pyplot,matplotlib.pyplot,np.average
apps/UXsim/tests/test_verification_straight_road.py,test_verification_straight_road,test_2link_signal,apps/UXsim/tests/test_verification_node.py,test_verification_node,equal_tolerance
apps/UXsim/demos_and_examples/example_05jp_gridlock_and_prevention.py,example_05jp_gridlock_and_prevention,show_time_space_diagram,uxsim,uxsim,print
apps/UXsim/uxsim/TaxiHandler/TaxiHandler.py,uxsim.TaxiHandler.TaxiHandler,assign_trip_request_to_taxi,operator,operator,len
apps/UXsim/uxsim/DTAsolvers/DTAsolvers.py,uxsim.DTAsolvers.DTAsolvers,plot_convergence,matplotlib.pyplot,matplotlib.pyplot,plt.plot
apps/UXsim/demos_and_examples/example_12en_signal_4legged_intersection_Deep_Reinforcement_Learning_pytorch_control.py,example_12en_signal_4legged_intersection_Deep_Reinforcement_Learning_pytorch_control,__init__,turtle,turtle,super
apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,network_average,matplotlib.pyplot,matplotlib.pyplot,plt.plot
apps/UXsim/tests/test_verification_route_choice.py,test_verification_route_choice,test_route_choice_4route_congestion_avoidance_gradual,matplotlib.pyplot,matplotlib.pyplot,np.average
apps/UXsim/uxsim/DTAsolvers/DTAsolvers.py,uxsim.DTAsolvers.DTAsolvers,plot_convergence,matplotlib.pyplot,matplotlib.pyplot,plt.ylim
apps/UXsim/tests/test_verification_straight_road.py,test_verification_straight_road,test_2link_signal,getopt,getopt,link2.q_mat.link2.q_mat.mean
apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,time_space_diagram_traj_links,matplotlib.pyplot,matplotlib.pyplot,plt.figure
apps/UXsim/demos_and_examples/example_05jp_gridlock_and_prevention.py,example_05jp_gridlock_and_prevention,show_time_space_diagram,apps/UXsim/uxsim/scenario_reader_writer.py,uxsim.scenario_reader_writer,W.load_scenario_from_csv
apps/UXsim/tests/test_verification_route_choice.py,test_verification_route_choice,test_route_choice_4route_congestion_avoidance_gradual,matplotlib.pyplot,matplotlib.pyplot,np.average
apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,network_average,matplotlib.pyplot,matplotlib.pyplot,plt.text
apps/UXsim/tests/test_verification_straight_road.py,test_verification_straight_road,test_2link_signal,apps/UXsim/tests/test_verification_node.py,test_verification_node,equal_tolerance
apps/UXsim/uxsim/DTAsolvers/DTAsolvers.py,uxsim.DTAsolvers.DTAsolvers,plot_convergence,matplotlib.pyplot,matplotlib.pyplot,plt.xlabel
apps/UXsim/uxsim/TaxiHandler/TaxiHandler.py,uxsim.TaxiHandler.TaxiHandler,assign_trip_request_to_taxi,tokenize,tokenize,float
apps/UXsim/demos_and_examples/example_12en_signal_4legged_intersection_Deep_Reinforcement_Learning_pytorch_control.py,example_12en_signal_4legged_intersection_Deep_Reinforcement_Learning_pytorch_control,__init__,pytest,pytest,nn.ModuleList
apps/UXsim/demos_and_examples/example_05en_gridlock_and_prevention.py,example_05en_gridlock_and_prevention,show_time_space_diagram,apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,W.analyzer.network_fancy
apps/UXsim/tests/test_verification_route_choice.py,test_verification_route_choice,test_route_choice_4route_congestion_avoidance_gradual,matplotlib.pyplot,matplotlib.pyplot,np.average
apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,network_average,uxsim,uxsim,max
apps/UXsim/uxsim/DTAsolvers/DTAsolvers.py,uxsim.DTAsolvers.DTAsolvers,plot_convergence,matplotlib.pyplot,matplotlib.pyplot,plt.figure
apps/UXsim/tests/test_verification_straight_road.py,test_verification_straight_road,test_2link_signal,getopt,getopt,link2.k_mat.link2.k_mat.mean
apps/UXsim/demos_and_examples/example_12en_signal_4legged_intersection_Deep_Reinforcement_Learning_pytorch_control.py,example_12en_signal_4legged_intersection_Deep_Reinforcement_Learning_pytorch_control,__init__,collections.abc,collections.abc,self.layers.append
apps/UXsim/tests/test_verification_route_choice.py,test_verification_route_choice,test_route_choice_4route_congestion_avoidance_gradual,matplotlib.pyplot,matplotlib.pyplot,np.average
apps/UXsim/tests/test_verification_straight_road.py,test_verification_straight_road,test_2link_signal,apps/UXsim/tests/test_verification_node.py,test_verification_node,equal_tolerance
apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,time_space_diagram_traj_links,apps/UXsim/uxsim/uxsim.py,uxsim.uxsim,s.W.get_link
apps/UXsim/uxsim/DTAsolvers/DTAsolvers.py,uxsim.DTAsolvers.DTAsolvers,plot_convergence,matplotlib.pyplot,matplotlib.pyplot,plt.title
