source-path,source-module,source-operation,target-path,target-module,target-operation,direction
distrib/UXsim/uxsim/analyzer.py,uxsim.analyzer,vx,distrib/UXsim/uxsim/analyzer.py,uxsim.analyzer,y2,WRITE
distrib/UXsim/uxsim/analyzer.py,uxsim.analyzer,vx,distrib/UXsim/demos_and_examples/example_12en_signal_4legged_intersection_Deep_Reinforcement_Learning_pytorch_control.py,example_12en_signal_4legged_intersection_Deep_Reinforcement_Learning_pytorch_control,x2,WRITE
distrib/UXsim/demos_and_examples/example_04en_automatic_network_generation.py,example_04en_automatic_network_generation,W,distrib/UXsim/demos_and_examples/example_08en_signal_reactive_control.py,example_08en_signal_reactive_control,World,WRITE
distrib/UXsim/demos_and_examples/example_01en_basic.py,example_01en_basic,link3,distrib/UXsim/demos_and_examples/example_08en_signal_reactive_control.py,example_08en_signal_reactive_control,W.addLink,WRITE
distrib/UXsim/tests/test_notebook_demos_extra.py,test_notebook_demos_extra,nb,distrib/UXsim/uxsim/uxsim.py,uxsim.uxsim,nbformat.read,WRITE
distrib/UXsim/demos_and_examples/example_14en_multiple_signals_Deep_Reinforcement_Learning_pytorch.py,example_14en_multiple_signals_Deep_Reinforcement_Learning_pytorch,target_net_state_dict,distrib/UXsim/uxsim/ResultGUIViewer/ResultGUIViewer.py,uxsimResultGUIViewer.ResultGUIViewer,target_net.state_dict,WRITE
distrib/UXsim/uxsim/analyzer.py,uxsim.analyzer,s.od_dist_ave,distrib/UXsim/uxsim/ResultGUIViewer/ResultGUIViewer.py,uxsimResultGUIViewer.ResultGUIViewer,ddict,WRITE
distrib/UXsim/uxsim/analyzer.py,uxsim.analyzer,vy,distrib/UXsim/uxsim/analyzer.py,uxsim.analyzer,y1,WRITE
distrib/UXsim/demos_and_examples/example_13en_multiple_signals.py,example_13en_multiple_signals,E2,distrib/UXsim/demos_and_examples/example_08en_signal_reactive_control.py,example_08en_signal_reactive_control,W.addNode,WRITE
distrib/UXsim/uxsim/analyzer.py,uxsim.analyzer,vx,distrib/UXsim/demos_and_examples/example_12en_signal_4legged_intersection_Deep_Reinforcement_Learning_pytorch_control.py,example_12en_signal_4legged_intersection_Deep_Reinforcement_Learning_pytorch_control,x1,WRITE
distrib/UXsim/uxsim/ResultGUIViewer/ResultGUIViewer.py,uxsimResultGUIViewer.ResultGUIViewer.MainWindow,menu_Vehicle,distrib/UXsim/uxsim/ResultGUIViewer/ResultGUIViewer.py,uxsimResultGUIViewer.ResultGUIViewer,menu_bar.addMenu,WRITE
distrib/UXsim/tests/test_verification_multilane.py,test_verification_multilane,link2,distrib/UXsim/demos_and_examples/example_08en_signal_reactive_control.py,example_08en_signal_reactive_control,W.addLink,WRITE
distrib/UXsim/uxsim/analyzer.py,uxsim.analyzer,vy,distrib/UXsim/uxsim/analyzer.py,uxsim.analyzer,y2,WRITE
distrib/UXsim/tests/test_verification_route_choice.py,test_verification_route_choice,link11,distrib/UXsim/demos_and_examples/example_08en_signal_reactive_control.py,example_08en_signal_reactive_control,W.addLink,WRITE
distrib/UXsim/demos_and_examples/example_14en_multiple_signals_Deep_Reinforcement_Learning_pytorch.py,example_14en_multiple_signals_Deep_Reinforcement_Learning_pytorch,policy_net_state_dict,distrib/UXsim/uxsim/analyzer.py,uxsim.analyzer,policy_net.state_dict,WRITE
distrib/UXsim/uxsim/analyzer.py,uxsim.analyzer,s.od_dist_std,distrib/UXsim/uxsim/ResultGUIViewer/ResultGUIViewer.py,uxsimResultGUIViewer.ResultGUIViewer,ddict,WRITE
distrib/UXsim/tests/test_verification_multilane.py,test_verification_multilane,link1,distrib/UXsim/demos_and_examples/example_08en_signal_reactive_control.py,example_08en_signal_reactive_control,W.addLink,WRITE
distrib/UXsim/uxsim/analyzer.py,uxsim.analyzer,vy,distrib/UXsim/demos_and_examples/example_12en_signal_4legged_intersection_Deep_Reinforcement_Learning_pytorch_control.py,example_12en_signal_4legged_intersection_Deep_Reinforcement_Learning_pytorch_control,x2,WRITE
distrib/UXsim/demos_and_examples/example_06jp_dynamic_parameter_change.py,example_06jp_dynamic_parameter_change,link1,distrib/UXsim/demos_and_examples/example_08en_signal_reactive_control.py,example_08en_signal_reactive_control,W.addLink,WRITE
distrib/UXsim/uxsim/Utilities/Utilities.py,uxsimUtilities.Utilities,path_weight,distrib/UXsim/uxsim/Utilities/Utilities.py,uxsimUtilities.Utilities,sum,WRITE
distrib/UXsim/uxsim/analyzer.py,uxsim.analyzer,vy,distrib/UXsim/demos_and_examples/example_12en_signal_4legged_intersection_Deep_Reinforcement_Learning_pytorch_control.py,example_12en_signal_4legged_intersection_Deep_Reinforcement_Learning_pytorch_control,x1,WRITE
distrib/UXsim/tests/test_notebook_demos_extra.py,test_notebook_demos_extra,full_path,distrib/UXsim/uxsim/uxsim.py,uxsim.uxsim,os.path.join,WRITE
distrib/UXsim/uxsim/ResultGUIViewer/ResultGUIViewer.py,uxsimResultGUIViewer.ResultGUIViewer.MainWindow,action_show_vehicle,distrib/UXsim/uxsim/uxsim.py,uxsim.uxsim,menu_Vehicle.addAction,WRITE
distrib/UXsim/tests/test_verification_route_choice.py,test_verification_route_choice,link12,distrib/UXsim/demos_and_examples/example_08en_signal_reactive_control.py,example_08en_signal_reactive_control,W.addLink,WRITE
distrib/UXsim/uxsim/analyzer.py,uxsim.analyzer,s.od_dist_min,distrib/UXsim/uxsim/ResultGUIViewer/ResultGUIViewer.py,uxsimResultGUIViewer.ResultGUIViewer,ddict,WRITE
distrib/UXsim/uxsim/analyzer.py,uxsim.analyzer,vx,distrib/UXsim/demos_and_examples/example_12en_signal_4legged_intersection_Deep_Reinforcement_Learning_pytorch_control.py,example_12en_signal_4legged_intersection_Deep_Reinforcement_Learning_pytorch_control,vx,WRITE
distrib/UXsim/tests/test_verification_multilane.py,test_verification_multilane,link2,distrib/UXsim/demos_and_examples/example_08en_signal_reactive_control.py,example_08en_signal_reactive_control,W.addLink,WRITE
distrib/UXsim/demos_and_examples/example_14en_multiple_signals_Deep_Reinforcement_Learning_pytorch.py,example_14en_multiple_signals_Deep_Reinforcement_Learning_pytorch,n_queue_veh,distrib/UXsim/uxsim/ResultGUIViewer/ResultGUIViewer.py,uxsimResultGUIViewer.ResultGUIViewer,TrafficSim,WRITE
distrib/UXsim/demos_and_examples/example_14en_multiple_signals_Deep_Reinforcement_Learning_pytorch.py,example_14en_multiple_signals_Deep_Reinforcement_Learning_pytorch,target_net_state_dict,distrib/UXsim/uxsim/analyzer.py,uxsim.analyzer,policy_net_state_dict.policy_net_state_dict,WRITE
distrib/UXsim/demos_and_examples/example_13en_multiple_signals.py,example_13en_multiple_signals,S2,distrib/UXsim/demos_and_examples/example_08en_signal_reactive_control.py,example_08en_signal_reactive_control,W.addNode,WRITE
distrib/UXsim/uxsim/analyzer.py,uxsim.analyzer,vx,distrib/UXsim/uxsim/analyzer.py,uxsim.analyzer,vy,WRITE
distrib/UXsim/tests/test_other_functions.py,test_other_functions,W,distrib/UXsim/demos_and_examples/example_08en_signal_reactive_control.py,example_08en_signal_reactive_control,World,WRITE
distrib/UXsim/demos_and_examples/example_14en_multiple_signals_Deep_Reinforcement_Learning_pytorch.py,example_14en_multiple_signals_Deep_Reinforcement_Learning_pytorch,target_net_state_dict,typing,typing,TAU,WRITE
distrib/UXsim/tests/test_verification_route_choice.py,test_verification_route_choice,link21,distrib/UXsim/demos_and_examples/example_08en_signal_reactive_control.py,example_08en_signal_reactive_control,W.addLink,WRITE
distrib/UXsim/uxsim/analyzer.py,uxsim.analyzer,dn,distrib/UXsim/demos_and_examples/example_08en_signal_reactive_control.py,example_08en_signal_reactive_control,s.W.DELTAN,WRITE
distrib/UXsim/uxsim/analyzer.py,uxsim.analyzer,vy,distrib/UXsim/demos_and_examples/example_12en_signal_4legged_intersection_Deep_Reinforcement_Learning_pytorch_control.py,example_12en_signal_4legged_intersection_Deep_Reinforcement_Learning_pytorch_control,vx,WRITE
distrib/UXsim/demos_and_examples/example_14en_multiple_signals_Deep_Reinforcement_Learning_pytorch.py,example_14en_multiple_signals_Deep_Reinforcement_Learning_pytorch,target_net_state_dict,distrib/UXsim/uxsim/ResultGUIViewer/ResultGUIViewer.py,uxsimResultGUIViewer.ResultGUIViewer,target_net_state_dict.target_net_state_dict,WRITE
distrib/UXsim/uxsim/ResultGUIViewer/ResultGUIViewer.py,uxsimResultGUIViewer.ResultGUIViewer.MainWindow,menu_Animation,distrib/UXsim/uxsim/ResultGUIViewer/ResultGUIViewer.py,uxsimResultGUIViewer.ResultGUIViewer,menu_bar.addMenu,WRITE
distrib/UXsim/uxsim/analyzer.py,uxsim.analyzer,vy,distrib/UXsim/uxsim/analyzer.py,uxsim.analyzer,vy,WRITE
distrib/UXsim/demos_and_examples/example_14en_multiple_signals_Deep_Reinforcement_Learning_pytorch.py,example_14en_multiple_signals_Deep_Reinforcement_Learning_pytorch,target_net_state_dict,typing,typing,TAU,WRITE
distrib/UXsim/uxsim/analyzer.py,uxsim.analyzer,adj_mat_time,distrib/UXsim/uxsim/uxsim.py,uxsim.uxsim,np.zeros,WRITE
distrib/UXsim/uxsim/OSMImporter/OSMImporter.py,uxsim.OSMImporter.OSMImporter,G,distrib/UXsim/demos_and_examples/example_12en_signal_4legged_intersection_Deep_Reinforcement_Learning_pytorch_control.py,example_12en_signal_4legged_intersection_Deep_Reinforcement_Learning_pytorch_control,ox.graph.graph_from_bbox,WRITE
distrib/UXsim/demos_and_examples/example_14en_multiple_signals_Deep_Reinforcement_Learning_pytorch.py,example_14en_multiple_signals_Deep_Reinforcement_Learning_pytorch,observation,distrib/UXsim/uxsim/analyzer.py,uxsim.analyzer,np.array,WRITE
distrib/UXsim/uxsim/analyzer.py,uxsim.analyzer,xsize,distrib/UXsim/uxsim/uxsim.py,uxsim.uxsim,l.k_mat.shape.l.k_mat.shape,WRITE
distrib/UXsim/tests/test_verification_route_choice.py,test_verification_route_choice,link22,distrib/UXsim/demos_and_examples/example_08en_signal_reactive_control.py,example_08en_signal_reactive_control,W.addLink,WRITE
distrib/UXsim/tests/test_notebook_demos_extra.py,test_notebook_demos_extra,full_path,distrib/UXsim/uxsim/uxsim.py,uxsim.uxsim,os.path.join,WRITE
distrib/UXsim/uxsim/ResultGUIViewer/ResultGUIViewer.py,uxsimResultGUIViewer.ResultGUIViewer.MainWindow,action_csv,distrib/UXsim/uxsim/ResultGUIViewer/ResultGUIViewer.py,uxsimResultGUIViewer.ResultGUIViewer,menu_Animation.addAction,WRITE
distrib/UXsim/uxsim/analyzer.py,uxsim.analyzer,c,distrib/UXsim/uxsim/analyzer.py,uxsim.analyzer,range,WRITE
distrib/UXsim/tests/test_verification_straight_road.py,test_verification_straight_road,W,distrib/UXsim/demos_and_examples/example_08en_signal_reactive_control.py,example_08en_signal_reactive_control,World,WRITE
distrib/UXsim/uxsim/Utilities/Utilities.py,uxsimUtilities.Utilities,dict_routes,distrib/UXsim/uxsim/uxsim.py,uxsim.uxsim,defaultdict,WRITE
distrib/UXsim/tests/test_verification_route_choice.py,test_verification_route_choice,link31,distrib/UXsim/demos_and_examples/example_08en_signal_reactive_control.py,example_08en_signal_reactive_control,W.addLink,WRITE
distrib/UXsim/uxsim/analyzer.py,uxsim.analyzer,adj_mat_dist,distrib/UXsim/uxsim/uxsim.py,uxsim.uxsim,np.zeros,WRITE
distrib/UXsim/uxsim/analyzer.py,uxsim.analyzer,lw,distrib/UXsim/uxsim/analyzer.py,uxsim.analyzer,range,WRITE
distrib/UXsim/tests/test_verification_multilane.py,test_verification_multilane,W,distrib/UXsim/demos_and_examples/example_08en_signal_reactive_control.py,example_08en_signal_reactive_control,World,WRITE
distrib/UXsim/demos_and_examples/example_12en_signal_4legged_intersection_Deep_Reinforcement_Learning_pytorch_control.py,example_12en_signal_4legged_intersection_Deep_Reinforcement_Learning_pytorch_control.TrafficSim,high,distrib/UXsim/uxsim/analyzer.py,uxsim.analyzer,np.array,WRITE
distrib/UXsim/tests/test_verification_straight_road.py,test_verification_straight_road,deltan,distrib/UXsim/uxsim/uxsim.py,uxsim.uxsim,random.randint,WRITE
distrib/UXsim/tests/test_verification_route_choice.py,test_verification_route_choice,link32,distrib/UXsim/demos_and_examples/example_08en_signal_reactive_control.py,example_08en_signal_reactive_control,W.addLink,WRITE
distrib/UXsim/tests/test_notebook_demos_extra.py,test_notebook_demos_extra,nb,distrib/UXsim/uxsim/uxsim.py,uxsim.uxsim,nbformat.read,WRITE
distrib/UXsim/demos_and_examples/example_14en_multiple_signals_Deep_Reinforcement_Learning_pytorch.py,example_14en_multiple_signals_Deep_Reinforcement_Learning_pytorch,n_actions,distrib/UXsim/uxsim/ResultGUIViewer/ResultGUIViewer.py,uxsimResultGUIViewer.ResultGUIViewer,env.action_space.n,WRITE
distrib/UXsim/demos_and_examples/example_14en_multiple_signals_Deep_Reinforcement_Learning_pytorch.py,example_14en_multiple_signals_Deep_Reinforcement_Learning_pytorch,best_average_delay,distrib/UXsim/demos_and_examples/example_08en_signal_reactive_control.py,example_08en_signal_reactive_control,env.W.analyzer.average_delay,WRITE
distrib/UXsim/uxsim/Utilities/Utilities.py,uxsimUtilities.Utilities,G,distrib/UXsim/demos_and_examples/example_12en_signal_4legged_intersection_Deep_Reinforcement_Learning_pytorch_control.py,example_12en_signal_4legged_intersection_Deep_Reinforcement_Learning_pytorch_control,nx.DiGraph,WRITE
distrib/UXsim/uxsim/ResultGUIViewer/ResultGUIViewer.py,uxsimResultGUIViewer.ResultGUIViewer.MainWindow,action_network_anim_detailed0,distrib/UXsim/uxsim/ResultGUIViewer/ResultGUIViewer.py,uxsimResultGUIViewer.ResultGUIViewer,menu_Animation.addAction,WRITE
distrib/UXsim/demos_and_examples/example_09en_congestion_pricing_highway_toll.py,example_09en_congestion_pricing_highway_toll,links,distrib/UXsim/demos_and_examples/example_08en_signal_reactive_control.py,example_08en_signal_reactive_control,W.addLink,WRITE
distrib/UXsim/demos_and_examples/example_14en_multiple_signals_Deep_Reinforcement_Learning_pytorch.py,example_14en_multiple_signals_Deep_Reinforcement_Learning_pytorch,state,distrib/UXsim/demos_and_examples/example_12en_signal_4legged_intersection_Deep_Reinforcement_Learning_pytorch_control.py,example_12en_signal_4legged_intersection_Deep_Reinforcement_Learning_pytorch_control,env.reset,WRITE
distrib/UXsim/demos_and_examples/example_14en_multiple_signals_Deep_Reinforcement_Learning_pytorch.py,example_14en_multiple_signals_Deep_Reinforcement_Learning_pytorch,best_W,distrib/UXsim/uxsim/analyzer.py,uxsim.analyzer,copy.deepcopy,WRITE
